;a;b;di;ht;lev;rh;rmse;spd
325;-9999;-9999;-9999;1.09981816653;0.5;81.3719014893;-9999;-9999
326;-9999;-9999;-9999;1.10439777005;0.5;81.6218919701;-9999;-9999
327;-9999;-9999;-9999;1.10898472769;0.5;81.8718824509;-9999;-9999
328;-9999;-9999;-9999;1.11357903945;0.5;82.1218729316;-9999;-9999
329;-9999;-9999;-9999;1.11818070532;0.5;82.3718634124;-9999;-9999
330;-9999;-9999;-9999;1.12278972528;0.5;82.6218538932;-9999;-9999
331;-9999;-9999;-9999;1.12740609932;0.5;82.8718443739;-9999;-9999
332;-9999;-9999;-9999;1.13202982743;0.5;83.1218348547;-9999;-9999
333;-9999;-9999;-9999;1.13666090959;0.5;83.3718253355;-9999;-9999
334;-9999;-9999;-9999;1.14129934581;0.5;83.6218158162;-9999;-9999
335;-9999;-9999;-9999;1.14594513605;0.5;83.871806297;-9999;-9999
336;-9999;-9999;-9999;1.15059828031;0.5;84.1217967778;-9999;-9999
337;-9999;-9999;-9999;1.15525877859;0.5;84.3717872585;-9999;-9999
338;-9999;-9999;-9999;1.15992663086;0.5;84.6217777393;-9999;-9999
339;-9999;-9999;-9999;1.16460183711;0.5;84.8717682201;-9999;-9999
340;-9999;-9999;-9999;1.16928439734;0.5;85.1217587008;-9999;-9999
341;-9999;-9999;-9999;1.17397431152;0.5;85.3717491816;-9999;-9999
342;-9999;-9999;-9999;1.17867157966;0.5;85.6217396624;-9999;-9999
343;-9999;-9999;-9999;1.18337620173;0.5;85.8717301431;-9999;-9999
344;-9999;-9999;-9999;1.18808817773;0.5;86.1217206239;-9999;-9999
345;-9999;-9999;-9999;1.19280750763;0.5;86.3717111047;-9999;-9999
