"","lon","lat","h"
"2426",295.284022988506,-36.8116666666667,285
"2427",295.300804597701,-36.8116666666667,272
"2428",295.317586206897,-36.8116666666667,254
"2429",295.334367816092,-36.8116666666667,229
"2430",295.351149425287,-36.8116666666667,220
"2431",295.367931034483,-36.8116666666667,211
"2432",295.384712643678,-36.8116666666667,207
"2433",295.401494252874,-36.8116666666667,201
"2434",295.418275862069,-36.8116666666667,203
"2435",295.435057471264,-36.8116666666667,200
"2436",295.45183908046,-36.8116666666667,207
"2437",295.468620689655,-36.8116666666667,215
"2438",295.485402298851,-36.8116666666667,229
"2439",295.502183908046,-36.8116666666667,229
"2440",295.518965517241,-36.8116666666667,216
"2441",295.535747126437,-36.8116666666667,198
"2442",295.552528735632,-36.8116666666667,187
"2443",295.569310344828,-36.8116666666667,184
"2444",295.586091954023,-36.8116666666667,190
"2445",295.602873563218,-36.8116666666667,170
"2446",295.619655172414,-36.8116666666667,182
"2447",295.636436781609,-36.8116666666667,206
"2448",295.653218390805,-36.8116666666667,210
"2449",295.67,-36.8116666666667,196
"2450",295.686781609195,-36.8116666666667,181
"2451",295.703563218391,-36.8116666666667,171
"2452",295.720344827586,-36.8116666666667,166
"2453",295.737126436782,-36.8116666666667,158
"2454",295.753908045977,-36.8116666666667,140
"2455",295.770689655172,-36.8116666666667,152
"2456",295.787471264368,-36.8116666666667,169
"2457",295.804252873563,-36.8116666666667,175
"2458",295.821034482759,-36.8116666666667,177
"2459",295.837816091954,-36.8116666666667,174
"2460",295.854597701149,-36.8116666666667,166
"2461",295.871379310345,-36.8116666666667,161
"2462",295.88816091954,-36.8116666666667,156
"2463",295.904942528736,-36.8116666666667,150
"2464",295.921724137931,-36.8116666666667,142
"2465",295.938505747126,-36.8116666666667,138
"2466",295.955287356322,-36.8116666666667,136
"2467",295.972068965517,-36.8116666666667,135
"2468",295.988850574713,-36.8116666666667,136
"2469",296.005632183908,-36.8116666666667,130
"2470",296.022413793103,-36.8116666666667,118
"2471",296.039195402299,-36.8116666666667,117
"2472",296.055977011494,-36.8116666666667,133
"2473",296.07275862069,-36.8116666666667,142
"2474",296.089540229885,-36.8116666666667,140
"2475",296.10632183908,-36.8116666666667,145
"2476",296.123103448276,-36.8116666666667,146
"2477",296.139885057471,-36.8116666666667,144
"2478",296.156666666667,-36.8116666666667,140
"2479",295.183333333333,-36.8283333333333,294
"2480",295.200114942529,-36.8283333333333,275
"2481",295.216896551724,-36.8283333333333,255
"2482",295.23367816092,-36.8283333333333,244
"2483",295.250459770115,-36.8283333333333,255
"2484",295.26724137931,-36.8283333333333,258
"2485",295.284022988506,-36.8283333333333,260
"2486",295.300804597701,-36.8283333333333,249
"2487",295.317586206897,-36.8283333333333,238
"2488",295.334367816092,-36.8283333333333,228
"2489",295.351149425287,-36.8283333333333,225
"2490",295.367931034483,-36.8283333333333,236
"2491",295.384712643678,-36.8283333333333,234
"2492",295.401494252874,-36.8283333333333,203
"2493",295.418275862069,-36.8283333333333,197
"2494",295.435057471264,-36.8283333333333,194
"2495",295.45183908046,-36.8283333333333,208
"2496",295.468620689655,-36.8283333333333,226
"2497",295.485402298851,-36.8283333333333,204
"2498",295.502183908046,-36.8283333333333,197
"2499",295.518965517241,-36.8283333333333,187
"2500",295.535747126437,-36.8283333333333,206
"2501",295.552528735632,-36.8283333333333,220
"2502",295.569310344828,-36.8283333333333,221
